text,label,meta,context,source,target
Iranian Foreign Minister Mohammad Javad Zarif has condemned a U.S. Supreme Court decision to partially reinstate President Donald Trump's temporary ban on travelers from six predominantly Muslim countries.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=4,,Iranian Foreign Minister Mohammad Javad Zarif,U.S. Supreme Court decision
SAN FRANCISCO - The American Civil Liberties Union is suing the FBI for records to find out more about a divisive 2017 report on the rise of black extremists following the shooting deaths of African-Americans.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=8,,American Civil Liberties Union,FBI
"On 4 October 2007, the Munich I Regional Court convicted Siemens to pay a fine of 201 million EUR for bribes paid abroad by its telecommunications subsidiary",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=19,,Munich I Regional Court,Siemens
The ACLU on March 28 filed a lawsuit in the United States South Dakota District Court against Thom.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=24,,ACLU,Thom
"Ukraine accuses Russia of sending the tanks, training and fighting alongside the separatists.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=29,,Ukraine,Russia
The Senate President's aide faulted Buhari's decision to allow Tinubu run his re-election campaign.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=58,,Senate President's aide,Buhari
The Tis Hazari court in New Delhi has ordered an investigation against Oommen Chandy over this allegation based on a petition.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=71,,Tis Hazari court in New Delhi,Oommen Chandy
"France has sent seven military experts to Saudi Arabia to investigate this weekend's attacks on their oil facilities, including specialists in explosives, missile trajectory and ground-to-air defense systems, a defense ministry spokeswoman said on Thursday.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=72,,France,Saudi Arabia
"The NGO has denounced 49 journalist detentions in Venezuela so far this year, with 12 taking place in January and 27 in February.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=94,,NGO,49 journalist detentions in Venezuela
"Turkish President Recep Tayyip Erdogan on Wednesday blamed the Syrian government for a suspected chemical weapons attack that killed dozens of people including children, calling President Bashar al-Assad a murderer",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=95,,Turkish President Recep Tayyip Erdogan,Syrian government
"JERUSALEM (AP) -- A Saudi dissident has filed a lawsuit against an Israeli surveillance company, claiming its sophisticated spyware targeted him and helped lead to the killing of his friend, Saudi journalist Jamal Khashoggi.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=102,,Saudi dissident,Israeli surveillance company
"MOSCOW -- A Russian court has charged one of the Kremlin's most vocal foreign critics, British financier and human rights activist William Browder, with creating an international criminal syndicate.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=134,,Russian court,"Kremlin's most vocal foreign critics, British financier and human rights activist William Browder"
Canadian Prime Minister Jean Chretien said Monday that Iraqi President Saddam Hussein could not be allowed to flout United Nations inspections of Iraq's chemical and biological weapons program.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=135,,Canadian Prime Minister Jean Chretien,Iraqi President Saddam Hussein
US wildlife authorities have launched an investigation after a manatee was discovered with the word 'Trump' scraped on its back.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=139,,US wildlife authorities,recipient
"Today, Iran's government faces widespread international criticism from the U.N. and others over its detention of activists and those with ties to the West.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=144,,U.N.,Iran's government
Pakistan summoned a senior Indian diplomat to its Foreign Ministry on Thursday to complain about what Islamabad says was indiscriminate and unprovoked firing by India in the disputed Himalayan region of Kashmir.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=153,,Pakistan,senior Indian diplomat
"After an emergency foreign ministers' meeting in the Red Sea city of Jeddah, the OIC expressed its total rejection and strong condemnation of the Israeli Prime Minister's declaration.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=166,,OIC,Israeli Prime Minister
"The Nigerian Senate, yesterday, began an investigation into the $3.5 billion spent under the Subsidy Recovery Fund of the Nigerian National Petroleum Corporation (NNPC).",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=183,,Nigerian Senate,$3.5 billion spent under the Subsidy Recovery Fund of the Nigerian National Petroleum Corporation (NNPC)
"A spokesman for President Ashraf Ghani on Wednesday disputed the results and methodology of the U.N. report, saying the government is committed to protecting civilians.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=204,,spokesman for President Ashraf Ghani,results and methodology of the U.N. report
France on Tuesday summoned the Chinese ambassador to complain of unacceptable behaviour after he posted a series of tweets targeting French lawmakers and a researcher.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=205,,France,Chinese ambassador
Mr Erdogan's critics say he has used the failed uprising as an excuse to stifle political opposition and a free press.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=206,,Mr Erdogan's critics,he
"Previously, the FBI had opened an investigation of Flynn based on his relationship with the Russian government.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=212,,FBI,Flynn
"KABUL (Pajhwok) : The Organization of Islamic Cooperation (OIC) , UN, NATO and Iran on Wednesday strongly condemned the shooting and suicide attack on a government building in Kabul, causing the loss of more than 43 precious lives and injures to many others.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=227,,"Organization of Islamic Cooperation (OIC) , UN, NATO and Iran",shooting and suicide attack on a government building in Kabul
"The UN Support Mission in Libya (UNSMIL) , on Sunday strongly condemned the bombing of a military academy in the capital Tripoli, which according to news reports left at least 30 dead and more than 30 others wounded.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=233,,UN Support Mission in Libya (UNSMIL),bombing of a military academy in the capital Tripoli
German prosecutors have launched an investigation into the business dealings of luxury hospitality group Kempinski.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=236,,German prosecutors,business dealings of luxury hospitality group Kempinski
The FBI has reportedly joined a criminal investigation of the certification process for the jets.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=238,,FBI,jets
"Majority Forward, a political group aligned with Democratic Senate Minority Leader Chuck Schumer, has led the attacks on Blackburn, the DEA law and her pharmaceutical industry campaign contributions.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=247,,"Majority Forward, a political group aligned with Democratic Senate Minority Leader Chuck Schumer","Blackburn, the DEA law and her pharmaceutical industry campaign contributions"
The Palestinian leader Yasir Arafat was criticized by Bush administration officials as damaging American diplomatic efforts and slowing the process of Palestinian reform.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=254,,Bush administration officials,Palestinian leader Yasir Arafat
"Former prime minister Paul Keating has launched an extraordinary attack on Australia's spy chiefs, calling them ""nutters"" and urging Bill Shorten to sack them to improve relations with China if he wins the election.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=269,,Former prime minister Paul Keating,Australia's spy chiefs
"Germany on Tuesday summoned the Chinese ambassador in Berlin to complain about the move, saying sanctions against EU lawmakers, scientists, political institutions and non-governmental organizations represented an unreasonable escalation that will unnecessarily strain relations between the EU and China.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=279,,Germany,Chinese ambassador
JERUSALEM (AP) -- The Israeli military says it has opened an investigation into the death of a 22-year-old Palestinian man after a video surfaced appearing to show him being shot in the back.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=284,,Israeli military,death of a 22-year-old Palestinian man
The Department of Transportation has also launched a probe of the Federal Aviation Administration's approval of the aircraft.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=289,,Department of Transportation,Federal Aviation Administration's approval of the aircraft
"But back in Israel, former prime minister Shimon Peres blamed Netanyahu's hardline policies for the upsurge in tensions with Syria.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=292,,former prime minister Shimon Peres,Netanyahu's hardline policies
Federal Police have launched an investigation into Australian VC recipient Ben Roberts-Smith over allegations of war crimes.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=296,,Federal Police,Australian VC recipient Ben Roberts-Smith
Washington - US President Donald Trump on Tuesday called Britain's ambassador to the United States a very stupid guy as he again reacted to leaked cables critical of the Trump administration.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=301,,US President Donald Trump,Britain's ambassador
The court convicted Germany's largest bank to pay about half a million Euros in damages for the breach of advisory duties.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=317,,court,Germany's largest bank
"Brazil's federal police filed new charges against President Michel Temer on Tuesday, recommending he be put on trial for corruption, money laundering and criminal association for allegedly taking bribes to favour port management companies.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=322,,Brazil's federal police,President Michel Temer
"German police have launched an investigation into former Germany defender Christoph Metzelder over the distribution of child pornography images, German newspaper Bild reported on Wednesday.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=329,,German police,former Germany defender Christoph Metzelder
"A court in Lyon found Barbarin guilty of failing to report allegations that a priest, Bernard Preynat, had abused boy scouts in the Lyon area in the 1980s and 1990s.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=344,,court in Lyon,Barbarin
"On Friday, Jotyar Adil, the KRG's ofcial spokesperson, in a statement condemned the killing of civilians during the Turkish military operations, and called on Turkey to respect ""the sovereignty of our lands and homeland"".",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=345,,"Jotyar Adil, the KRG's ofcial spokesperson",killing of civilians during the Turkish military operations
A U.S. government watchdog agency has launched an investigation in the wake of an Associated Press report revealing complaints about how immigration authorities treated hunger strikers at a detention center in Texas.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=347,,U.S. government watchdog agency,detention center in Texas
"The Department of Education will investigate Yale, along with other institutions of higher education across the country, for allegedly failing to report billions of dollars in foreign funding.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=367,,Department of Education,Yale
"THE HAGUE, Netherlands -- A United Nations prosecutor has charged a former Rwandan planning minister with contempt of court for allegedly bribing witnesses to recant testimony in an attempt to overturn his genocide convictions.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=368,,United Nations prosecutor,former Rwandan planning minister
The South African Government strongly refuted United States President Donald Trump's comments on farm seizures and expropriations and the large-scale killing of farmers in the country.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=375,,South African Government,United States President Donald Trump
Anti-war groups called on low-wage workers and community activists to mobilize against U.S. war moves in Ukrain.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=387,,Anti-war groups,U.S. war moves
"The Obama administration has sent teams of CIA operatives into Libya in a rush to investigate the rebel forces opposed to Libyan leader Muammar Gaddafi, according to US officials.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=388,,Obama administration,Libya
The European Parliament delegation visiting earlier in the week offered scathing criticism of the Maltese government's handling of the situation and declared that trust had been severely damaged.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=417,,European Parliament delegation,Maltese government's handling of the situation
"A Turkish prosecutor is seeking jail sentences for all three on charges of membership of an armed terrorist organization, according to the indictment, which was completed on March 8 but has not been made public.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=428,,Turkish prosecutor,all three on charges of membership of an armed terrorist organization
"The French government accuses Russia of having brought its intelligence-gathering satellite Olymp-K, also known as Louch, into close proximity of the French-Italian military satellite Athena-Fidus in 2017.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=451,,French government,Russia
"LA PAZ, Bolivia -- Bolivia's government said Wednesday that the Organization of American States is sending a 30-person team to launch a binding audit of a presidential election that the opposition says was rigged to ensure the re-election of leftist President Evo Morales.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=456,,Organization of American States,presidential election
These comments also came days after the U.S. and the European Union had released a joint statement criticising a spate of human rights violations in Zimbabwe where members of the police and the military were accused of assaulting and kidnapping citizens.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=463,,U.S. and the European Union,spate of human rights violations in Zimbabwe
The European Commission accused the legislation of attacking civil society in Hungary.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=466,,European Commission,legislation
"In 2004, a Belgian court convicted the party of having repeatedly incited hatred toward immigrants and of having a discriminatory programme.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=488,,Belgian court,party
UN Secretary General Antonio Guterres has strongly condemned the terrorist attack on a church during a mass in Pakistan's restive southwestern city of Quetta which killed nine people and injured 44 others.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=498,,UN Secretary General Antonio Guterres,terrorist attack
The United Nations General Assembly condemned the North Korea's gross violations of human rights.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=512,,United Nations General Assembly,North Korea's gross violations of human rights
The premier of Canada's Alberta province called for sanctions against the US after newly elected President Joe Biden cancelled the CAN$8 billion Keystone XL Pipeline on Wednesday.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=548,,premier of Canada's Alberta province,US
The German authorities opened fraud investigations against hundreds of banks over involvement in so-called cum-ex trading fraud between 2001 and 2011.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=549,,German authorities,hundreds of banks
"Tehran, March 15, IRNA - Secretary-General of the Permanent Secretariat of the International Conference of Support for Palestinian People in the Iranian Parliament condemned the Zionist regime's brutal attacks on the Palestinian people in Gaza.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=572,,Secretary-General of the Permanent Secretariat of the International Conference of Support for Palestinian People in the Iranian Parliament,Zionist regime's brutal attacks
"Brisbane barrister James Bell, QC, is heading an inquiry into the Queensland GPS school injuries and is trying to fashion a picture of best practice in injury prevention on which schools can model their programs.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=578,,"Brisbane barrister James Bell, QC",Queensland GPS school injuries
German officials summoned the Egyptian ambassador in Berlin to complain about a raid on a German organization in Cairo.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=587,,German officials,Egyptian ambassador
The European Commission has launched legal action against the Polish government over changes to the way judges are appointed in the country that observers say undermine the independence of its courts.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=591,,European Commission,Polish government
"Ukrainian authorities say they have opened an investigation into whether Marie Yovanovitch, the former U.S. ambassador to Kyiv, was illegally spied on before U.S. President Donald Trump abruptly recalled her from her post last year.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=602,,Ukrainian authorities,"Marie Yovanovitch, the former U.S. ambassador to Kyiv"
"A United Nations expert on the human rights of migrants is calling for a full investigation into the death of 7-year-old Jakelin Caal Maquin, a Guatemalan migrant who survived a 2,000-mile journey to the states but died in the custody of U.S. Customs and Border Protection in less than 48 hours.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=606,,United Nations expert on the human rights of migrants,"7-year-old Jakelin Caal Maquin, a Guatemalan migrant"
Family members of nine women and children from an offshoot Mormon community who were killed in Mexico have filed a federal lawsuit accusing the Juarez drug cartel of carrying out the attack in retribution for their public criticism and protests against the cartel.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=607,,Family members of nine women and children from an offshoot Mormon community who were killed in Mexico,Juarez drug cartel
"The chairman of the African Union Commission Moussa Faki Mahamat has condemned the attacks, which have seen scores of people arrested in Johannesburg and the capital Pretoria.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=608,,chairman of the African Union Commission Moussa Faki Mahamat,attacks
India has summoned a top US diplomat to complain about spying after allegations that the National Security Agency (NSA) targeted the governing BJP.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=648,,India,top US diplomat
US President Donald Trump's 2020 reelection campaign on Wednesday filed a lawsuit against The New York Times newspaper over an opinion piece it published in March 2019.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=649,,US President Donald Trump's 2020 reelection campaign,New York Times newspaper
Cyprus authorities have launched an investigation into 70 employees of Wargaming.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=662,,Cyprus authorities,70 employees of Wargaming
"Secretary of State Mike Pompeo, White House spokesman Hogan Gidley and the CIA challenged reports that appeared in The New York Times, CNN and elsewhere about a Russian official with high-level access who provided the U.S. with valuable intelligence for years until he was abruptly pulled from the country.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=667,,"Secretary of State Mike Pompeo, White House spokesman Hogan Gidley and the CIA","New York Times, CNN"
And Amnesty International put out a report accusing the Nigerian army of failing to respond to warning signs before the mass kidnapping.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=668,,Amnesty International,Nigerian army
South Africa's government has condemned an anarchic protest by white farmers who stormed a court building and burnt a police vehicle on Tuesday.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=669,,South Africa's government,white farmers
"British military police have launched an investigation into claims that two servicemen abused children in Afghanistan, the defence ministry said today.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=675,,British military police,two servicemen
Jurisdiction for Peace ordered an investigation against DEA officials over alleged misconduct and human rights violations.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=710,,Jurisdiction for Peace,DEA officials
"Cebu City--Police have started an investigation of the quirky killing Tuesday night of former Medellin town mayor Ricardo Ramirez, arrested in 2017 for illegal arms possession and drug paraphernalia, while under hospital arrest at the Bogo-Medellin Medical Center in his town.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=714,,Police,former Medellin town mayor Ricardo Ramirez
"Ukraine will send a team of experts to Iran later on Wednesday to investigate the circumstances of the crash of an Ukrainian airliner, President Volodymyr Zelenskiy said after meeting government officials.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=717,,Ukraine,Iran
"The United Nations on Thursday said it will investigate attacks on its humanitarian facilities in northwest Syria, only days after two-thirds of the UN Security Council called for an inquiry.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=742,,United Nations,northwest Syria
Bangladesh's central bank has filed a lawsuit in the U.S. District Court for the Southern District of New York against Philippine private bank over the heist of $81 million from Bangladesh Bank's account with the Federal Reserve Bank of New York.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=744,,Bangladesh's central bank,Philippine private bank
"Amnesty International (AI) has accused the Nigerian military of mass slaughter of hundreds of men, women and children in Zaria and attempting to cover-up the incident",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=766,,Amnesty International (AI),Nigerian military
Authorities in Wyoming have launched an investigation after a virtual Black history event hosted by the University of Wyoming's Black Studies Center was interrupted with racist slurs and pornographic images.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=776,,Authorities in Wyoming,recipient
"Cipollone, White House counsel since late 2018, has led the White House attack on the impeachment proceedings, calling the move unconstitutional and rejecting congressional subpoenas on behalf of the administration.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=778,,"Cipollone, White House counsel",impeachment proceedings
"TIRANA, Albania (AP) -- Albania's parliament passed a resolution Thursday criticizing President Ilir Meta for attempting to cancel upcoming municipal elections, a move it called unconstitutional, beyond the president's authority and ""absolutely invalid.""",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=782,,Albania's parliament,President Ilir Meta
The Heads of State condemned the act of aggression and the continuing threats made by the United States Government.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=784,,Heads of State,United States Government
"A French lawyer has filed a lawsuit in a Paris court against visiting Saudi Crown Prince Mohammed bin Salman, accusing him of complicity in torture in Yemen.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=786,,French lawyer,Saudi Crown Prince Mohammed bin Salman
"Since 2013, Erdogan has accused Gulen of attempting to overthrow the Turkish government by creating a parallel state within the civil service and military.",ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=789,,Erdogan,Gulen
