text,label,meta,context,source,target
"In the latest edition, staff writer Jeremy M. Lazarus reports that the Legislative Black Caucus celebrated killing a bill that would have merged <s>the Department of Minority Business Enterprise (DMBE)</s> with <t>the Department of Business Assistance (DBA)</t>.",Conflict,AW|doc_id=2963|sent_id=13|dataset=ace|osplit=train|etype=Business:Merge-Org,Business:Merge-Org,Org:the Department of Minority Business Enterprise (DMBE),Org:the Department of Business Assistance (DBA)
but <s>a toymaker</s> and one man's dream have put the <t>silver cross</t> pram back on the stroller circuit.,Cooperation,AW|doc_id=684|sent_id=17|dataset=ace|osplit=train|etype=Business:Start-Org,Business:Start-Org,Agent:a toymaker,Org:silver cross
but a toymaker and <s>one man</s>'s dream have put the <t>silver cross</t> pram back on the stroller circuit.,Cooperation,AW|doc_id=684|sent_id=17|dataset=ace|osplit=train|etype=Business:Start-Org,Business:Start-Org,Agent:one man,Org:silver cross
"Six European countries have agreed to contribute troops to <s>the British and Polish sectors</s> to create <t>an international stability force</t>, the official said.",Cooperation,AW|doc_id=2185|sent_id=21|dataset=ace|osplit=train|etype=Business:Start-Org,Business:Start-Org,Agent:the British and Polish sectors,Org:an international stability force
"<s>Six European countries</s> have agreed to contribute troops to the British and Polish sectors to create <t>an international stability force</t>, the official said.",Cooperation,AW|doc_id=2185|sent_id=21|dataset=ace|osplit=train|etype=Business:Start-Org,Business:Start-Org,Agent:Six European countries,Org:an international stability force
"<s>Major US insurance group AIG</s> is in the final stage of talks to take over General Electric's Japanese life insurance arm in a deal to create <t>Japan</t>'s sixth largest life insurer, reports said Wednesday.",Cooperation,AW|doc_id=3763|sent_id=20|dataset=ace|osplit=test|etype=Business:Start-Org,Business:Start-Org,Agent:Major US insurance group AIG,Place:Japan
"<s>The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange</s>, plans to follow up its May Day launching by opening <t>a ""sex Disneyland</t>"" here, the Melbourne-based bordello announced Wednesday.",Cooperation,AW|doc_id=3663|sent_id=22|dataset=ace|osplit=test|etype=Business:Start-Org,Business:Start-Org,"Agent:The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange","Org:a ""sex Disneyland"
<s>Coalition</s> airstrikes have been hitting Iraqi military forces and other strategic targets in <t>the north</t>.,Conflict,AW|doc_id=1869|sent_id=102|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Coalition,Place:the north
<s>Coalition</s> airstrikes have been hitting <t>Iraqi military forces</t> and other strategic targets in the north.,Conflict,AW|doc_id=1869|sent_id=102|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:Coalition,Target:Iraqi military forces
<s>The US-led coalition forces</s> launched a new round of airstrikes on <t>Baghdad</t> at 2:30 p.m. (1130GMT) on Monday.,Conflict,AW|doc_id=2390|sent_id=208|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:The US-led coalition forces,Place:Baghdad
<s>The forces</s> encountered limited resistance along the way and are now poised for the final assault not far from <t>the edge of the city</t>.,Conflict,AW|doc_id=331|sent_id=189|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:The forces,Place:the edge of the city
"And to the south, <s>British forces</s> continue their attack on targets around <t>Basra</t>.",Conflict,AW|doc_id=293|sent_id=82|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:British forces,Place:Basra
<s>The Iraqis</s> promise an unconventional attack on <t>U.S. troops</t> tonight.,Conflict,AW|doc_id=412|sent_id=195|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:The Iraqis,Target:U.S. troops
"In interviews last year, Giuliani said Nathan gave him ``tremendous emotional support'' through his treatment for prostate cancer and as he led the city during the aftermath of the Sept. 11 <s>terrorist</s> attack on <t>the World Trade Center</t>.",Conflict,AW|doc_id=2166|sent_id=133|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:terrorist,Target:the World Trade Center
"Israeli authorities have claimed <s>Sharif, 27, from Derby</s>, was on the run after failing to blow himself up in the attack on <t>a Tel Aviv bar</t>.",Conflict,AW|doc_id=2420|sent_id=142|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,"Attacker:Sharif, 27, from Derby",Target:a Tel Aviv bar
"Israeli authorities have claimed <s>Sharif, 27, from Derby</s>, was on the run after failing to blow himself up in the attack on a <t>Tel Aviv</t> bar.",Conflict,AW|doc_id=2420|sent_id=142|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,"Attacker:Sharif, 27, from Derby",Place:Tel Aviv
"A spokesman said <s>a group of 25 to 30 armed men</s> Wednesday attacked a house belonging to a village quack doctor in <t>Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala</t>.",Conflict,AW|doc_id=3612|sent_id=69|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,Attacker:a group of 25 to 30 armed men,"Place:Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala"
"A spokesman said <s>a group of 25 to 30 armed men</s> Wednesday attacked <t>a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala</t>.",Conflict,AW|doc_id=3612|sent_id=69|dataset=ace|osplit=test|etype=Conflict:Attack,Conflict:Attack,Attacker:a group of 25 to 30 armed men,"Target:a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala"
central command says it is investigating <t>iraqi</t> allegations that <s>u.s</s>. attacks are to blame for hundreds of civilians casualties in hillah.,Conflict,AW|doc_id=620|sent_id=98|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s,Place:iraqi
central command says it is investigating iraqi allegations that <s>u.s</s>. attacks are to blame for hundreds of <t>civilians</t> casualties in hillah.,Conflict,AW|doc_id=620|sent_id=98|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s,Target:civilians
central command says it is investigating iraqi allegations that <s>u.s</s>. attacks are to blame for hundreds of civilians casualties in <t>hillah</t>.,Conflict,AW|doc_id=620|sent_id=98|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:u.s,Place:hillah
"<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to <t>friends</t>, to employees.",Conflict,AW|doc_id=669|sent_id=126|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:his brother,Target:friends
"<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to friends, to <t>employees</t>.",Conflict,AW|doc_id=669|sent_id=126|dataset=ace|osplit=train|etype=Conflict:Attack,Conflict:Attack,Attacker:his brother,Target:employees
